"Parameter","Description","Instrument Count","List of Instruments"
"Hand clock XY pad drag, X=tempo Y=swing","Drag on an XY pad to set tempo (X) and swing amount (Y).","1","Jaw Harp"
"Rhythm tempo slider 36-480 BPM default 148","Sets the playback speed of the rhythmic pattern in beats per minute.","1","Jaw Harp"
"Alternating swing slider -0.42 to 0.42 default 0.08","Adjusts the swing/groove timing offset between alternating beats.","1","Jaw Harp"
"Breath-per-loop ratio select","Sets how many breaths occur per rhythmic loop cycle.","1","Jaw Harp"
"Lock breath to plucking toggle","Synchronizes the breathing cycle to the plucking rhythm when enabled.","1","Jaw Harp"
"drag nodes for tongue 2D, jaw vertical, lip horizontal, focus/cavity 2D, glottis horizontal, plus reed pull-and-release pluck gesture","Drag anatomical nodes on the canvas to shape tongue, jaw, lip, cavity and glottis, and pull-release to pluck the reed.","1","Jaw Harp"
"Draw button hold with [/S keys","Hold to draw (inhale) a note, bound to the [ and S keys.","1","Harmonicazoid"
"Blow button hold with ]/W keys","Hold to blow (exhale) a note, bound to the ] and W keys.","1","Harmonicazoid"
"Auto breath-cycle toggle/Space, data-primary-transport","Toggles automatic alternating draw/blow breathing, bound to Space.","1","Harmonicazoid"
"Speed breath-rhythm slider 1-1200 cycles/min default 24","Sets the rate of the automatic breathing cycle in cycles per minute.","1","Harmonicazoid"
"Reed body preset select","Chooses a preset physical reed body configuration.","1","Harmonicazoid"
"Instrument key select","Sets the musical key the harmonica is tuned to.","1","Harmonicazoid"
"Mouth aperture width buttons 1-5 single note/double-stop/chord/chord/broad chord default 2","Selects mouth opening width, from a single note up to a broad chord.","1","Harmonicazoid"
"Randomize the physical model button","Randomizes the underlying physical model parameters.","1","Harmonicazoid"
"Breath rhythm pattern select, N key cycles","Chooses a breathing rhythm pattern, cyclable with the N key.","1","Harmonicazoid"
"dynamic gesture-shortcut technique buttons, B key cycles","Applies a playing technique from a dynamic list, cyclable with the B key.","1","Harmonicazoid"
"Technique amount slider 0-2 default 1.22","Sets how strongly the selected playing technique is applied.","1","Harmonicazoid"
"Gesture rate slider 0.1-30Hz default 22","Sets the speed/frequency of the performance gesture's repetition.","1","Harmonicazoid"
"Breath attack slider 0-500ms default 12","Sets how quickly each breath note ramps up to full volume.","1","Harmonicazoid"
"Breath release slider 0-1000ms default 176","Sets how quickly each breath note fades out after release.","1","Harmonicazoid"
"Hand cup/wah slider 0-1 default 0.9","Sets the amount of hand-cupping wah filtering effect.","1","Harmonicazoid"
"Cup motion slider 0-1 default 0.32","Sets the rate/amount of hand-cup movement modulation.","1","Harmonicazoid"
"Growl drive slider 0-2 default 1.28","Sets the intensity of a growl/distortion drive effect on the tone.","1","Harmonicazoid"
"Tongue block slider 0-1 default 0.24","Sets how much the tongue blocks airflow to certain reeds.","1","Harmonicazoid"
"Tongue motion slider 0-1 default 0.26","Sets the amount of tongue movement modulation applied.","1","Harmonicazoid"
"Overblow/overdraw slider 0-1.5 default 0","Sets the amount of overblow/overdraw bending effect applied.","1","Harmonicazoid"
"Rhythm swing slider -0.45 to 0.45 default 0.3","Adjusts the swing/groove timing offset of the rhythmic pattern.","1","Harmonicazoid"
"Anchor hole slider 1-10 default 2, plus number keys and A/D or arrow keys","Selects which harmonica hole is the anchor note, also settable via keys.","1","Harmonicazoid"
"Embouchure width slider 1-5 default 2, plus -/= keys","Sets the width of the mouth embouchure, also adjustable with - and = keys.","1","Harmonicazoid"
"Lip cup/projection slider -2 to 3 default 0.92","Adjusts how much the lips cup and project the sound.","1","Harmonicazoid"
"Breath pressure slider 0-3 default 1.26","Sets the intensity of simulated breath air pressure.","1","Harmonicazoid"
"Draw/blow duration slider 0.02-0.98 default 0.76","Sets the relative duration split between drawing and blowing phases.","1","Harmonicazoid"
"Breath shift pristine-sloppy slider 0-1 default 0.84","Adjusts breath tone from clean/pristine to loose/sloppy character.","1","Harmonicazoid"
"Paired-reed bend slider 0-1.5 default 0.52, plus up/down arrow semitone stops","Bends the pitch of paired reeds, steppable by semitone with arrow keys.","1","Harmonicazoid"
"Reed gap slider 0.02-2.5 default 0.72","Sets the physical gap between reed and reed plate, affecting response.","1","Harmonicazoid"
"Reed stiffness slider 0.2-2 default 1","Adjusts the stiffness of the vibrating reed material.","1","Harmonicazoid"
"Comb/lip leakage slider 0-0.95 default 0.04","Sets how much air leaks around the comb and lips, adding breathiness.","1","Harmonicazoid"
"Flow nonlinearity slider 0-2 default 0.9","Sets how nonlinear the simulated airflow response is, adding harmonic complexity.","1","Harmonicazoid"
"Tongue front/back slider -2 to 3 default 0.18","Moves the modeled tongue forward or backward, shaping vowel tone.","1","Harmonicazoid"
"Tongue height slider -2 to 3 default 0.38","Raises or lowers the modeled tongue, shaping vowel tone.","1","Harmonicazoid"
"Throat opening slider -2 to 3 default 0.18","Adjusts how open the modeled throat is, affecting resonance.","1","Harmonicazoid"
"Vocal feedback slider 0-2 default 1.5","Sets how much vocal-tract resonance feeds back into the tone.","1","Harmonicazoid"
"Pitch vibrato rate slider 0-18Hz default 3.8","Sets the speed of pitch vibrato modulation.","1","Harmonicazoid"
"Pitch vibrato depth slider 0-2 default 0.2","Sets how much the pitch wavers with vibrato.","1","Harmonicazoid"
"Hand tremolo rate slider 0.1-30Hz default 4.4","Sets the speed of hand-cup tremolo/volume modulation.","1","Harmonicazoid"
"Hand tremolo depth slider 0-1 default 0.13","Sets how much the volume wavers with hand tremolo.","1","Harmonicazoid"
"Comb stereo width slider 0-1 default 0.18","Sets the stereo spread applied to the comb resonance.","1","Harmonicazoid"
"five-view canvas letting the user hold upper/lower chamber halves to blow/draw, drag across chambers to glissando, and drag HOLE/MOUTH, BEND, rhythm, TONGUE, CUP, LIPS, TRACT nodes mirroring the sliders above","Interactive diagram to blow/draw, glissando between holes, and drag nodes mirroring the harmonica's sliders.","1","Harmonicazoid"
"Play automatic saw phrase button/Space, data-primary-transport","Starts/stops an automatic musical saw performance phrase, bound to Space.","1","Julie Saw"
"Tempo slider 30-300 BPM default 76","Sets the playback speed of the automatic phrase in beats per minute.","1","Julie Saw"
"Bow button hold","Hold to bow the saw blade and sustain a note.","1","Julie Saw"
"Soft mallet, Hard mallet, Pluck edge, Tap thimble, Teeth scrape gesture buttons","Triggers different striking/plucking/scraping playing gestures on the saw.","1","Julie Saw"
"Choke damp button","Dampens/mutes the ringing saw blade immediately.","1","Julie Saw"
"Rhythm/motion select with a live rhythm-score readout","Chooses a rhythmic motion pattern, shown live in a score display.","1","Julie Saw"
"Randomize button","Randomizes the current sound/performance settings.","1","Julie Saw"
"Track sweet spot toggle","Toggles automatic tracking of the blade's resonant sweet spot.","1","Julie Saw"
"Blade preset select","Chooses a preset saw blade configuration.","1","Julie Saw"
"Arch/pitch slider 0.02-0.98 default 0.43","Sets the blade's arch/flex amount, which controls pitch.","1","Julie Saw"
"Tip curl slider 0-1 default 0.64","Sets how much the blade tip curls, affecting timbre.","1","Julie Saw"
"S localization slider 0-1 default 0.86","Sets where the S-curve node forms along the blade, affecting tone.","1","Julie Saw"
"Knee+steel damping slider 0-1 default 0.2","Sets how much the player's knee and steel dampen blade vibration.","1","Julie Saw"
"Plate brightness slider 0-1 default 0.48","Adjusts the brightness/high-frequency content of the blade's resonance.","1","Julie Saw"
"Bow pressure slider 0-1.4 default 0.48","Sets how hard the bow presses against the blade.","1","Julie Saw"
"Bow speed slider 0.01-1.5 default 0.43","Sets how fast the bow is drawn across the blade.","1","Julie Saw"
"Blade contact slider 0-1 default 0.52","Sets the amount of bow-to-blade surface contact.","1","Julie Saw"
"Rosin grip slider 0-1 default 0.62","Sets how much rosin grip/friction the bow has on the blade.","1","Julie Saw"
"Bow bite slider 0-1 default 0.58","Sets how sharply the bow catches/bites the blade at each stroke.","1","Julie Saw"
"Edge rasp slider 0-1 default 0.24","Adds a rasping/scraping edge texture to the tone.","1","Julie Saw"
"Vibrato depth slider 0-120 cents default 24","Sets how much the pitch wavers with vibrato, in cents.","1","Julie Saw"
"Vibrato rate slider 0.1-14Hz default 5.2","Sets the speed of the pitch vibrato modulation.","1","Julie Saw"
"Vibrato delay slider 0-2.5s default 0.28","Sets how long after a note starts before vibrato begins.","1","Julie Saw"
"Flex glide slider 0.005-1.5s default 0.16","Sets how quickly the blade's pitch glides when flexed.","1","Julie Saw"
"ADSR Attack/Decay/Sustain/Release sliders","Sets the note's attack, decay, sustain level, and release envelope times.","1","Julie Saw"
"Steel+room body slider 0-1 default 0.38","Sets the amount of steel body and room resonance added to the tone.","1","Julie Saw"
"Plate stereo width slider 0-1 default 0.34","Sets the stereo spread of the blade's resonant plate sound.","1","Julie Saw"
"drag of the pink flex hand sideways for arch/pitch and up/down for tip curl, and the amber bow left/right to bow with vertical position for contact and pointer pressure for bow force","Drag the flex hand to set pitch/tip curl and the bow to control bowing contact and force.","1","Julie Saw"
"chromatic computer-key piano across A W S E D F T G Y H U J K O L P and semicolon","Plays chromatic notes using a row of computer keyboard keys as a piano.","1","Julie Saw"
"arrow keys flex the blade while canvas is focused","Uses arrow keys to flex the saw blade for pitch bending while the canvas has focus.","1","Julie Saw"
"Play/pause sequence button/Space, data-primary-transport","Starts or pauses playback of the step sequence, bound to Space.","1","Hiccup Head"
"Restart to beginning button","Resets sequence playback to the first step.","1","Hiccup Head"
"Sequence length numeric stepper 1-64 plus a matching length knob slider and preset buttons 4/8/16/24/32/48/64","Sets the number of steps in the sequence, via stepper, slider, or presets.","1","Hiccup Head"
"Pattern select plus next-pattern button","Chooses a saved pattern, with a button to advance to the next one.","1","Hiccup Head"
"Scatter randomize-pattern button","Randomizes the current step pattern.","1","Hiccup Head"
"Clear pattern button","Clears all steps from the current pattern.","1","Hiccup Head"
"Tempo slider 48-520 BPM default 118","Sets the sequencer playback speed in beats per minute.","1","Hiccup Head"
"Swing slider 0-0.46 default 0.1","Adjusts the swing/groove timing offset of the sequencer steps.","1","Hiccup Head"
"per-step sequencer grid, one lane, each column has a click/drag-paintable volume rectangle, a per-step sound title dropdown, and a drag-paintable sound-selector bar spanning all 52 sounds","Step sequencer grid where each step's volume and sound choice can be painted in or set via dropdown.","1","Hiccup Head"
"Visual skin select six options checkerboard/cutout-collage/1904 photo/food portrait/ASCII/Zombie Zoid","Chooses the visual art style/skin applied to the face graphic.","1","Hiccup Head"
"webcam cut-up photobooth dialog with camera start/freeze/retake controls and six draggable/resizable face guides","Captures a webcam photo and lets you position/resize face-part guides to build a custom face.","1","Hiccup Head"
"Mutable face preset select plus next-preset button","Chooses a saved face preset, with a button to advance to the next one.","1","Hiccup Head"
"Mutate the whole face randomize button","Randomizes all face appearance parameters at once.","1","Hiccup Head"
"52-pad sound-trigger grid covering every gesture","Grid of 52 pads, each triggering a distinct vocal/body sound effect.","1","Hiccup Head"
"Sound bank select plus next-bank button","Chooses a bank of sounds, with a button to advance to the next one.","1","Hiccup Head"
"Voices count slider 1-8 default 4","Sets how many simultaneous voice layers are used.","1","Hiccup Head"
"Mutate sound bank button","Randomizes the current sound bank's assignments.","1","Hiccup Head"
"per-voice mutable/soloable voice rack","Panel of per-voice controls to mute, solo, or randomize each voice.","1","Hiccup Head"
"Stored air pressure slider 0-1.6 default 0.82","Sets the reservoir air pressure available to drive sounds.","1","Hiccup Head"
"Lip tension slider -0.35 to 1.65 default 0.46","Adjusts the tension of the modeled lips, shaping tone.","1","Hiccup Head"
"Lip projection slider -0.45 to 1.8 default 0.38","Adjusts how far the modeled lips project outward, shaping tone.","1","Hiccup Head"
"Mouth aperture slider 0.01-1.85 default 0.48","Sets how wide the modeled mouth opening is.","1","Hiccup Head"
"Vocal/DOO pitch slider -24 to 24 semitones default 0","Transposes the vocal/""DOO"" sound's pitch in semitones.","1","Hiccup Head"
"Cheek volume slider -0.4 to 2 default 0.64","Sets the loudness of cheek-slap/puff sounds.","1","Hiccup Head"
"Face membrane tension slider -0.35 to 1.7 default 0.42","Adjusts the tension of the simulated face membrane, changing timbre.","1","Hiccup Head"
"Tongue front/back slider -0.65 to 1.65 default 0.58","Moves the modeled tongue forward or backward, shaping vowel tone.","1","Hiccup Head"
"Tongue curl/groove slider -0.7 to 1.8 default 0.4","Adjusts the curl/groove shape of the modeled tongue, shaping tone.","1","Hiccup Head"
"Tongue extension slider 0-1.6 default 0.08","Sets how far the modeled tongue extends outward.","1","Hiccup Head"
"Tract length slider 0.035-0.52m default 0.165","Sets the length of the modeled vocal tract, affecting pitch/formants.","1","Hiccup Head"
"Nose height/nasal tone slider 0-1 default 0.14, also draggable nose on canvas","Sets nasal resonance amount, adjustable by slider or dragging the nose graphic.","1","Hiccup Head"
"Ear spread/stereo width slider 0-1 default 0.18, also draggable ears","Sets the stereo width of the sound, adjustable by slider or dragging the ears.","1","Hiccup Head"
"Left/Right hair length slider 0-1 defaults 0.12/0.16, draggable hair tips set length+angle together","Sets each hair's length, also settable by dragging the hair tip on canvas.","1","Hiccup Head"
"Left/Right hair angle slider -1 to 1 defaults -0.82/-0.62","Sets the angle of each hair strand on the face graphic.","1","Hiccup Head"
"Eye divergence/reverb slider -1 to 1 default 0.08, also draggable eyes choosing plate vs cathedral reverb","Sets eye divergence and blends between plate and cathedral reverb, via slider or dragging the eyes.","1","Hiccup Head"
"Eyebrow emphasis slider 0-0.9 default 0.7, plus draggable 5-position eyebrow rhythm accents","Sets how strongly eyebrow movement accents the rhythm, with 5 draggable accent positions.","1","Hiccup Head"
"Anatomy warp/silliness slider 0-1 default 0.56","Sets how exaggerated/distorted the face anatomy model becomes.","1","Hiccup Head"
"Body decay slider 0.35-1.8 default 0.92","Sets how long the body resonance takes to decay after a sound.","1","Hiccup Head"
"Sequence looseness/humanize slider 0-0.45 default 0.06","Adds timing randomness to sequencer steps for a more human feel.","1","Hiccup Head"
"Reset face and pattern button","Resets both the face appearance and the step pattern to defaults.","1","Hiccup Head"
"Reset all face effects button","Resets all face-related sound effect parameters to defaults.","1","Hiccup Head"
"push/drag on the stomach to compress its wall, drag through intestinal coils to knead a slug, press/release colored valve rings to pinch and release","Interactive diagram to compress the stomach, knead intestinal contents, and pinch valve rings for sound.","1","Digestazoid"
"Inflate/Deflate hold buttons for the gas pocket","Hold to manually inflate or deflate the simulated gas pocket.","1","Digestazoid"
"Digest continuous-motion toggle button","Toggles continuous automatic digestive motion/sound generation.","1","Digestazoid"
"8 gesture pad buttons Growl/Burble/Bubble/Slosh/Burp/Burple/Fart/Long one, each with a number-key 1-8 shortcut and matching letter mnemonics g/u/b/p/f/s","Triggers one of 8 digestive sound gestures, each with a keyboard shortcut.","1","Digestazoid"
"Digestive body preset select plus next-preset button","Chooses a preset digestive body configuration, with a button to advance to the next one.","1","Digestazoid"
"Contaminate the meal randomize button","Randomizes the digestive contents/parameters for a new sound character.","1","Digestazoid"
"Gas pocket slider 0-1.8 default 0.42","Sets the size of the simulated gas pocket, affecting bubbling/burp sounds.","1","Digestazoid"
"Liquid load slider 0-1.5 default 0.58","Sets the amount of simulated liquid content, affecting sloshing sounds.","1","Digestazoid"
"Sludge load slider 0-1.5 default 0.44","Sets the amount of simulated thick sludge content, affecting texture.","1","Digestazoid"
"Viscosity slider 0-1 default 0.52","Sets the thickness/viscosity of the simulated fluid contents.","1","Digestazoid"
"Bubble size slider 2-22mm default 8","Sets the size of simulated bubbles, affecting the pitch of bubbling sounds.","1","Digestazoid"
"Peristalsis rate slider 1-72/min default 9.5","Sets the rate of simulated peristaltic (intestinal wave) motion.","1","Digestazoid"
"Contraction depth slider 0-1 default 0.56","Sets how strongly the simulated gut muscles contract during peristalsis.","1","Digestazoid"
"Stomach compliance slider 0.08-1.5x default 0.88","Adjusts how stretchy/soft the stomach wall is, affecting its acoustic response.","1","Digestazoid"
"Intestinal tension slider 0-1 default 0.58","Controls how taut the intestinal walls are, shaping the digestive sound texture.","1","Digestazoid"
"Body pulse slider 0-1 default 0.52","Sets the strength of the underlying rhythmic body pulse driving the sound.","1","Digestazoid"
"Upper valve opening slider 0-1 default 0.48","Adjusts how open the upper digestive valve is, controlling flow and gurgle sound.","1","Digestazoid"
"Pyloric gate slider 0-1 default 0.64","Controls how open the pyloric gate is between stomach and intestine.","1","Digestazoid"
"Lower valve opening slider 0-1 default 0.55","Adjusts how open the lower digestive valve is, shaping flow-related sounds.","1","Digestazoid"
"Outlet stretch slider 0-1 default 0.36","Sets how much the outlet stretches, affecting the release/expulsion sound.","1","Digestazoid"
"Seethe/turbulence slider 0-1 default 0.54","Controls the amount of bubbling/turbulent noise in the digestive sound.","1","Digestazoid"
"Listening position select outside body/stethoscope/inside tube","Chooses the simulated listening vantage point/microphone placement for the sound.","1","Digestazoid"
"Wet coupling slider 0-1 default 0.54","Sets how strongly fluid/wet elements couple into the resonating body sound.","1","Digestazoid"
"Abdominal resonance slider 0-1 default 0.56","Controls how much the abdominal cavity resonates and colors the sound.","1","Digestazoid"
"Purge and reset button","Clears the current state and resets the instrument to its defaults.","1","Digestazoid"
"Physical instrument select choosing among 19 models, with region/topology/evidence-tier badges and a linked model-source citation","Chooses which of 19 physically-modeled anatomical sources drives the sound.","1","Mouthophones"
"Inhale/Exhale hold buttons","Holds the simulated breath in the inhale or exhale phase while pressed.","1","Mouthophones"
"Pluck/gesture button, hidden unless the selected source needs a hand gesture, press or Space","Triggers a hand-gesture excitation for sources that require a manual pluck to sound.","1","Mouthophones"
"Rhythmic hand auto-gesture toggle, hidden unless applicable","Turns on automatic repeating hand gestures instead of manual triggering.","1","Mouthophones"
"Automatic breath toggle","Turns on an automatic, self-cycling breathing pattern instead of manual control.","1","Mouthophones"
"Gesture loop rhythm select, hidden section shown only for hand-driven sources","Chooses the repeating rhythm pattern used for automatic hand gestures.","1","Mouthophones"
"Hand tempo slider 30-220 BPM default 92","Sets the speed of the automatic hand-gesture rhythm in beats per minute.","1","Mouthophones"
"Breath-against-loop ratio select four options","Sets the timing ratio between breath cycles and the hand-gesture loop.","1","Mouthophones"
"Lock breath to hand toggle","Synchronizes/locks the breath cycle to the hand-gesture timing.","1","Mouthophones"
"Unbreathed resonance slider 0-0.35 default 0.08","Adds resonance present even without active breath excitation.","1","Mouthophones"
"Pressure slider 0-1 default 0.76","Controls the air pressure driving the sound source, affecting loudness/intensity.","1","Mouthophones"
"Breath rhythm slider 8-96 cycles/min default 22","Sets how many breath cycles occur per minute.","1","Mouthophones"
"In/out duration slider 0.25-0.75 default 0.46","Sets the relative duration split between the inhale and exhale phases.","1","Mouthophones"
"Glottis opening slider 0-1 default 0.48","Adjusts how open the glottis is, shaping airflow and voiced tone.","1","Mouthophones"
"Rest frequency slider 42-640Hz default 82","Sets the base/resting pitch frequency of the sound source.","1","Mouthophones"
"Acoustic length slider 0.08-2.4m default 1.28","Sets the simulated tube length, which lowers pitch/resonance as it increases.","1","Mouthophones"
"Mechanical loss slider 0.05-0.92 default 0.34","Controls how much energy is lost to friction/damping in the model.","1","Mouthophones"
"Valve/edge stiffness slider 0-1 default 0.58","Adjusts the stiffness of the vibrating valve/edge, changing timbre.","1","Mouthophones"
"Hand force slider 0.05-1 default 0.72, used only by plucked/rubbed/bowed sources","Sets how forcefully the hand excites plucked, rubbed, or bowed sound sources.","1","Mouthophones"
"Tongue front/back slider 0-1 default 0.5","Moves the simulated tongue position forward or backward to shape vowel color.","1","Mouthophones"
"Tongue height slider 0-1 default 0.35","Raises or lowers the simulated tongue to shape the vocal tract resonance.","1","Mouthophones"
"Jaw opening slider 0-1 default 0.62","Adjusts how open the simulated jaw is, affecting mouth resonance.","1","Mouthophones"
"Lip rounding slider 0-1 default 0.18","Controls how rounded the simulated lips are, shaping vowel timbre.","1","Mouthophones"
"Mouth/body coupling slider 0-1 default 0.91","Sets how strongly the mouth resonator couples to the rest of the body/instrument.","1","Mouthophones"
"drag of tongue and jaw handles to reshape the mouth resonator","Lets you drag on-screen handles to directly reshape the mouth resonance model.","1","Mouthophones"
"keyboard Space/Enter for the gesture, [ and ] to hold inhale/exhale, R to toggle auto-gesture, Escape to stop","Provides keyboard shortcuts to trigger gestures, hold breath phases, toggle auto-gesture, and stop.","1","Mouthophones"
"Play croak button/Space, data-primary-transport","Triggers playback of the main croak/call sound.","1","Morphynx"
"Loop toggle","Turns on continuous looping of the current sound/sequence.","1","Morphynx"
"Record button plus Download take link","Records the current audio output and provides a link to download the take.","1","Morphynx"
"Animal anchor select","Chooses the base animal model used as a reference/anchor for the voice.","1","Morphynx"
"Call gesture select","Chooses which call/gesture pattern triggers the sound.","1","Morphynx"
"Voice/anatomy select","Chooses the vocal anatomy configuration used to generate the sound.","1","Morphynx"
"Syrinx-Larynx morph slider 0-1 default 0.56","Morphs the vocal source between a bird syrinx and a mammalian larynx model.","1","Morphynx"
"Audio source buttons Internal/Mic/Hybrid","Selects whether sound comes from the internal synth, live mic input, or a blend of both.","1","Morphynx"
"Breath pressure slider 0-1 default 0.68","Sets the simulated breath pressure driving the vocal source.","1","Morphynx"
"Membrane tension slider 0-1 default 0.42","Adjusts the tension of the vibrating membrane, changing pitch and timbre.","1","Morphynx"
"Fold closure slider 0-1 default 0.68","Controls how tightly the vocal folds close, affecting voicing and breathiness.","1","Morphynx"
"Tract length slider 0.018-0.82m default 0.17","Sets the length of the vocal tract model, shifting formant resonances.","1","Morphynx"
"Mouth/beak opening slider 0-1 default 0.52","Adjusts how open the mouth or beak is, shaping tone brightness.","1","Morphynx"
"Nose/cavity coupling slider 0-1 default 0.34","Sets how much the nasal cavity couples into the resonance, adding nasal color.","1","Morphynx"
"Left/right split asymmetry slider 0-1 default 0.3","Introduces asymmetry between left and right vocal paths for a richer timbre.","1","Morphynx"
"Source balance slider 0-1 default 0.5 center","Balances the mix between two sound sources, centered by default.","1","Morphynx"
"Roughness slider 0-1 default 0.42","Adds a rough, distorted quality to the vocal tone.","1","Morphynx"
"Type latch toggle button","Switches on-screen letter keys between momentary press and latched-on typing modes.","1","Morphynx"
"on-screen letter articulation keyboard grid, A-Z hold to voice, Shift+letter for larger mutation, apostrophe or question mark for glottal stop","Provides an on-screen keyboard where letters trigger corresponding vocal articulations.","1","Morphynx"
"Larynx voices count slider 1-7 default 1","Sets how many simultaneous larynx voices are layered together.","1","Morphynx"
"Tongue contours count slider 1-5 default 1","Sets how many independent tongue contour shapes are used.","1","Morphynx"
"Nasal cavities count slider 1-3 default 1","Sets how many nasal cavity resonators are active.","1","Morphynx"
"Mutation slider 0-1 default 0","Introduces random/creature-like mutation into the voice character.","1","Morphynx"
"Voice coupling slider 0-1 default 0","Sets how strongly multiple voices couple/interact with each other.","1","Morphynx"
"Growl slider 0-1 default 0","Adds a growling, distorted vocal quality.","1","Morphynx"
"Anatomy motion toggle button","Turns on continuous automatic motion of the anatomy model over time.","1","Morphynx"
"Motion depth slider 0-1 default 0.28","Sets how far the automatic anatomy motion moves from its base position.","1","Morphynx"
"Gesture rate slider 0.25-2.5x default 1","Scales the speed of triggered gestures relative to normal rate.","1","Morphynx"
"Silence between calls slider 0-8000ms default 650","Sets the pause duration between successive calls in milliseconds.","1","Morphynx"
"drag of morph, source, tract, and mouth nodes","Lets you drag on-screen nodes to reshape the morph, source, tract, and mouth models.","1","Morphynx"
"number keys 0-9 load Throatazoid anatomy banks","Uses number keys to quickly load preset anatomy configurations.","1","Morphynx"
"Organism preset buttons Elephant x Bird/Murmuration/Hydra throat/Soft machine","Loads a named preset combination of hybrid organism vocal anatomies.","1","Hyper-Syrinx"
"Animate transport toggle button","Turns on automatic animation of the module network over time.","1","Hyper-Syrinx"
"drag-and-drop organ-module field where each module card has a species select, a per-module parameter slider 0-1, duplicate and remove buttons, and a drag handle for reordering/connecting via visible ports","Lets you build a signal chain by dragging, connecting, duplicating, and configuring organ modules.","1","Hyper-Syrinx"
"Hold to breathe button/Space, press-and-hold pressure gate","Gates airflow into the system, active only while held down.","1","Hyper-Syrinx"
"Routing topology buttons Braid/Chain/All to all","Selects how the organ modules are interconnected in the signal routing.","1","Hyper-Syrinx"
"Metabolism slider 0-1 default 0.34","Controls the overall activity/energy level driving the combined organism sound.","1","Hyper-Syrinx"
"Cross-coupling slider 0-1 default 0.58","Sets how strongly the different organ modules influence each other.","1","Hyper-Syrinx"
"Air noise/breath texture slider 0-1 default 0.06","Adds breathy noise texture to the sound.","1","Hyper-Syrinx"
"Shared saliva/wetness slider 0-1 default 0.27","Adds a shared wet/moist quality across the coupled organ modules.","1","Hyper-Syrinx"
"Return to elephant x bird reset button","Resets the patch back to the default elephant-bird hybrid configuration.","1","Hyper-Syrinx"
"Audio button and Start synth voice/awaken button","Starts the audio engine and activates the synthetic voice.","1","Alien Larynx"
"Sever/panic button to stop audio, disabled until awake","Immediately stops all audio output; only usable once the voice is active.","1","Alien Larynx"
"interactive canvas dragging the purple tongue membrane for vowels, front airway for consonants, blue nose gates for nasal color, and mouth diamond pods for aperture/branch length, plus Left/Right to select a mouth, Up/Down for aperture, brackets for branch length, and Enter to seal/open the selected mouth","Lets you interactively shape vowels, consonants, nasal color, and mouth apertures via canvas drag and keyboard.","1","Alien Larynx"
"5 vowel gesture buttons A E I O U and 9 consonant gesture buttons glottal stop/K/T/P/S/SH/F/M/N/NG, each press-and-hold or tap, mapped to matching QWERTY keys","Triggers specific vowel or consonant sounds via on-screen or keyboard presses.","1","Alien Larynx"
"full A-Z on-screen keyboard reference where every letter voices an approximate vowel/stop/fricative/nasal/affricate/approximant, Shift+letter for a mutated variant, and apostrophe or question mark for a glottal stop","Provides a full alphabet keyboard mapping where each letter voices a distinct speech sound.","1","Alien Larynx"
"Keyboard gate switch toggling momentary vs latched typing mode","Switches whether keyboard-triggered sounds play only while held or latch on.","1","Alien Larynx"
"number keys 0-9 load 10 of 14 named alien anatomy specimen presets","Uses number keys to quickly recall preset alien anatomy specimens.","1","Alien Larynx"
"direct-articulation mini panel with Place, Aperture, Lip, and Voicing sliders 0-1 plus a read-only pressure meter","Directly controls articulation place, aperture, lip shape, and voicing, with a pressure readout.","1","Alien Larynx"
"Quick Synth/Quick Mic source-select buttons","Quickly switches the sound source between the internal synth and live microphone.","1","Alien Larynx"
"22 voice preset buttons","Loads one of 22 named preset vocal timbres and characters.","1","Alien Larynx"
"14 alien-anatomy specimen buttons","Loads one of 14 named alien anatomy specimen configurations.","1","Alien Larynx"
"Return to anchored voice button disabling all 5 alien systems","Resets the voice to its baseline anchored state, turning off all alien subsystems.","1","Alien Larynx"
"Coupled double larynx toggle plus False fold mix 0-1 default 0.24, Fold asymmetry -1 to 1 default 0.08, and Larynx feedback 0-0.7 default 0.16 sliders","Enables a second coupled larynx and controls its false-fold mix, asymmetry, and feedback.","1","Alien Larynx"
"True-scale tract toggle plus Tract length 7-70cm default 17.5, Tract medium select Air/Helium/Heavy gas/Alien vapor/Custom, and Sound speed 100-1100 m/s default 343 sliders","Enables physically accurate vocal tract scaling and lets you set tract length, transmission medium, and sound speed.","1","Alien Larynx"
"Mouth genomes toggle plus 7 mouth-picker buttons, Gene-from/Gene-to selects, Genome morph 0-1, and Genome drift rate 0-4Hz sliders, plus a Seed vowel colony one-click button","Enables morphing between different mouth shapes/genomes with adjustable drift and blend.","1","Alien Larynx"
"Robot glands toggle plus a Gland I-IV select, Waveform select voice pulse/square/impulse/noise, Pitch ratio 0.25-4x, Clock division select divide by 1/2/3/4/6/8, Phase 0-360 degrees, Duty 0.05-0.95, and Jitter 0-1 sliders, each independent per gland","Enables independent mechanical ""gland"" sound generators with their own waveform, pitch, timing, and jitter settings.","1","Alien Larynx"
"Wormhole manifold toggle plus Topology select Ring/Star/Mobius/Seeded random, Delay 0.5-40ms, Feedback 0-0.78, and Seed 1-999 sliders","Enables a feedback-delay network with configurable topology for complex resonant textures.","1","Alien Larynx"
"3 excitation source buttons Mic/Glottis default/Hybrid","Chooses whether the sound is excited by microphone input, a synthetic glottis, or both.","1","Alien Larynx"
